"","DBN","Year","Mean Scale Score_e","Mean Scale Score_m","Total Enrollment","% Female","% Male","% Asian","% Black","% Hispanic","% Multi-Racial","% Native American","% White","% Missing Race/Ethnicity Data","% Students with Disabilities","% English Language Learners","% Poverty","Economic Need Index","# Total Days_a","# Days Absent_a","# Days Present_a","% Attendance_a","# Contributing 10+ Total Days and 1+ Pres Day_a","# Chronically Absent_a","% Chronically Absent_a","% tested_e","% tested_m"
"56","01M539",2022,0.978401574342265,0.977429351902205,1640,0.510365843772888,0.489634156227112,0.354878038167953,0.0542682930827141,0.107317075133324,0.085365854203701,0.00243902439251542,0.392682939767838,0.00304878037422895,0.126829266548157,0.0158536583185196,"0.23719511926174164","0.25538179278373718",284665,"17112","267553","93.988723750000005","1645","247","15.01519775",0.384756097560976,0.321341463414634
"57","01M539",2019,0.980958066255387,0.978742931968923,1754,0.474914491176605,0.525085508823395,0.332953244447708,0.0672748014330864,0.113454960286617,0.0678449273109436,0.00741163035854697,0.39737743139267,0.0136830098927021,0.0855188146233559,0.0159635115414858,"0.24515393376350403","0.26929646730422974",304104,"11901","292203","96.086532590000004","1759","117","6.6515064239999999",0.421322690992018,0.345496009122007
"58","01M839",2023,0.145090729802566,0.154730969281675,321,0.482866048812866,0.517133951187134,0.112149529159069,0.140186920762062,0.514018714427948,0.0218068528920412,0,0.211838006973267,0,0.342679113149643,0.0498442351818085,"0.65109032392501831","0.67557632923126221",56490,"4182","52308","92.596916199999995","331","87","26.28398705",0.697819314641745,0.623052959501558
"59","01M839",2022,0.86179891187818,0.844764547745213,322,0.459627330303192,0.540372669696808,0.130434781312943,0.17080745100975,0.450310558080673,0.0155279505997896,0,0.232919260859489,0,0.310559004545212,0.0465838499367237,"0.67391306161880493","0.63118946552276611",57768,"4544","53224","92.134056090000001","337","97","28.783382419999999",0.751552795031056,0.667701863354037
"60","01M839",2019,0.876576751643505,0.870548937732717,362,0.533149182796478,0.466850817203522,0.215469613671303,0.129834249615669,0.406077355146408,0.0303867403417826,0.00828729290515184,0.209944754838943,0,0.276243090629578,0.0193370170891285,"0.67403316497802734","0.6658397912979126",64251,"3160","61091","95.081787109999993","362","48","13.25966835",0.790055248618785,0.723756906077348
"61","02M001",2023,0.0777037108653953,0.11772113078831,193,0.430051803588867,0.569948196411133,0.357512950897217,0.227979272603989,0.316062182188034,0.0310880821198225,0.0207253880798817,0.0466321259737015,0,0.243523314595222,0.212435230612755,"0.77202069759368896","0.80144041776657104",35224,"4538","30686","87.116737369999996","216","110","50.92592621",0.398963730569948,0.419689119170984
"62","02M001",2022,0.799222073230299,0.804394039102916,219,0.465753436088562,0.534246563911438,0.374429225921631,0.255707770586014,0.278538823127747,0.018264839425683,0.00913241971284151,0.0639269426465034,0,0.24200913310051,0.178082197904587,"0.74885845184326172","0.81506913900375366",37930,"5082","32848","86.601631159999997","237","115","48.523208619999998",0.429223744292237,0.45662100456621
"63","02M001",2019,0.844385701092364,0.858491743793215,295,0.464406788349152,0.535593211650848,0.498305082321167,0.179661020636559,0.284745752811432,0.006779660936445,0.0033898304682225,0.0237288139760494,0.0033898304682225,0.288135588169098,0.189830511808395,"0.77627116441726685","0.83365648984909058",52375,"2992","49383","94.287353519999996","315","61","19.36507988",0.447457627118644,0.454237288135593
"64","02M002",2023,0.144211502274366,0.207103184845068,329,0.468085110187531,0.531914889812469,0.580547094345093,0.158054709434509,0.224924013018608,0,0.00607902742922306,0.0303951371461153,0,0.306990891695023,0.25227963924408,"0.9392096996307373","0.88206076622009277",57669,"3993","53676","93.076004030000007","347","89","25.64841461",0.483282674772036,0.486322188449848
"65","02M002",2022,0.866360030247453,0.848340939981808,358,0.463687151670456,0.536312878131866,0.642458081245422,0.131284922361374,0.195530727505684,0,0,0.0307262577116489,0,0.27653631567955,0.315642446279526,"0.91899442672729492","0.8723137378692627",63357,"5320","58037","91.603134159999996","384","117","30.46875",0.463687150837989,0.46927374301676
